OrderID,Date,CustomerID,ProductID,StoreID,SalesChannel,Quantity,FinalPrice
5000,2025-02-13,1808,12,9,Store,1,599.0
5001,2025-01-30,1248,11,11,Store,1,1199.0
5002,2025-05-09,1639,16,3,Store,1,3599.0
5003,2026-01-29,1588,21,11,Store,1,49.0
5004,2024-12-30,1779,14,11,Online,1,4499.1
5005,2025-07-29,1695,12,11,Store,1,599.0
5006,2025-01-17,1270,23,5,Online,1,359.1
5007,2025-05-31,1633,25,4,Store,1,399.0
5008,2026-04-12,1296,16,4,Store,1,3599.0
5009,2025-07-24,1979,1,4,Online,1,3599.1
5010,2025-01-25,1282,14,11,Store,1,4999.0
5011,2026-01-03,1184,17,10,Store,2,2599.0
5012,2026-05-05,1449,10,14,Online,2,629.1
5013,2025-09-17,1334,13,10,Store,2,5699.0
5014,2025-03-04,1988,11,3,Online,2,1079.1
5015,2025-10-11,1583,6,1,Online,2,2249.1
5016,2026-01-27,1186,14,3,Store,1,4999.0
5017,2025-06-12,1836,10,8,Store,1,699.0
5018,2025-03-04,1380,24,2,Store,2,599.0
5019,2026-02-20,1786,19,1,Store,2,99.0
5020,2025-12-12,1475,7,11,Online,1,233.1
5021,2026-02-18,1931,1,10,Online,1,3599.1
5022,2024-12-27,1476,24,1,Store,1,599.0
5023,2025-02-18,1774,20,10,Store,2,79.0
5024,2025-02-17,1061,8,4,Store,2,1499.0
5025,2026-04-19,1612,13,8,Store,1,5699.0
5026,2025-12-24,1824,7,9,Online,2,233.1
5027,2025-11-26,1872,11,7,Online,1,1079.1
5028,2025-11-19,1388,14,3,Online,2,4499.1
5029,2025-12-22,1261,21,6,Store,2,49.0
5030,2025-09-30,1006,25,11,Store,2,399.0
5031,2024-09-13,1678,19,5,Online,1,89.1
5032,2025-08-08,1423,12,9,Store,1,599.0
5033,2025-09-15,1480,18,12,Online,1,359.1
5034,2025-05-26,1119,8,6,Online,1,1349.1
5035,2025-08-29,1311,5,2,Store,2,3500.0
5036,2024-07-07,1882,19,14,Store,2,99.0
5037,2024-06-23,1917,21,3,Online,2,44.1
5038,2025-10-23,1998,13,3,Online,2,5129.1
5039,2025-12-12,1594,7,11,Online,1,233.1
5040,2025-12-14,1887,7,11,Store,2,259.0
5041,2026-05-07,1244,11,13,Store,2,1199.0
5042,2024-12-10,1841,2,2,Store,2,2999.0
5043,2024-10-05,1479,12,5,Online,2,539.1
5044,2025-11-18,1192,10,2,Online,2,629.1
5045,2026-04-07,1072,14,12,Store,1,4999.0
5046,2024-07-07,1092,14,5,Store,2,4999.0
5047,2026-01-29,1613,4,4,Online,2,269.1
5048,2025-10-25,1455,15,12,Online,1,3689.1
5049,2025-09-14,1475,20,9,Store,2,79.0
5050,2024-11-01,1169,9,7,Online,2,989.1
5051,2025-03-02,1278,21,13,Store,2,49.0
5052,2026-04-09,1223,20,4,Store,2,79.0
5053,2025-10-05,1425,20,1,Online,1,71.1
5054,2024-08-29,1709,5,9,Store,1,3500.0
5055,2024-09-12,1468,23,10,Store,1,399.0
5056,2026-02-07,1952,18,11,Store,2,399.0
5057,2025-03-21,1720,22,11,Online,1,269.1
5058,2025-12-12,1678,3,8,Store,1,1999.0
5059,2024-11-22,1038,6,10,Store,2,2499.0
5060,2026-03-25,1037,16,7,Online,2,3239.1
5061,2026-04-02,1106,6,3,Store,1,2499.0
5062,2025-09-10,1216,17,11,Online,2,2339.1
5063,2026-05-05,1775,2,7,Online,2,2699.1
5064,2025-11-04,1935,11,6,Store,2,1199.0
5065,2026-01-21,1710,24,6,Online,1,539.1
5066,2024-08-02,1819,10,5,Online,1,629.1
5067,2024-08-31,1081,2,4,Store,1,2999.0
5068,2024-08-06,1496,1,9,Store,1,3999.0
5069,2025-02-23,1308,11,1,Online,1,1079.1
5070,2026-04-27,1643,14,2,Store,1,4999.0
5071,2024-09-24,1112,7,1,Store,1,259.0
5072,2026-02-28,1295,3,6,Store,2,1999.0
5073,2025-06-17,1472,10,4,Online,2,629.1
5074,2025-10-28,1415,14,4,Online,2,4499.1
5075,2025-03-31,1567,11,6,Store,1,1199.0
5076,2026-05-04,1260,25,7,Online,1,359.1
5077,2024-11-09,1457,19,10,Store,1,99.0
5078,2025-12-19,1301,13,8,Store,1,5699.0
5079,2025-12-28,1051,17,2,Store,2,2599.0
5080,2025-08-21,1291,16,13,Store,2,3599.0
5081,2025-08-14,1061,19,8,Online,1,89.1
5082,2026-03-12,1641,18,10,Online,1,359.1
5083,2026-05-22,1910,14,6,Store,1,4999.0
5084,2025-07-24,1542,10,6,Online,2,629.1
5085,2026-02-03,1382,17,3,Online,2,2339.1
5086,2024-11-27,1282,7,14,Online,1,233.1
5087,2025-08-09,1484,1,4,Store,1,3999.0
5088,2026-04-14,1515,15,10,Online,2,3689.1
5089,2026-03-14,1240,21,7,Store,2,49.0
5090,2024-09-05,1928,17,3,Store,1,2599.0
5091,2025-03-07,1179,3,12,Online,1,1799.1
5092,2024-09-26,1686,15,7,Online,2,3689.1
5093,2025-11-09,1741,8,3,Store,2,1499.0
5094,2025-08-13,1206,17,1,Online,2,2339.1
5095,2024-07-29,1703,21,8,Online,2,44.1
5096,2026-03-18,1597,19,2,Online,2,89.1
5097,2024-10-08,1557,14,2,Store,2,4999.0
5098,2024-08-12,1882,5,13,Store,2,3500.0
5099,2026-05-13,1045,12,1,Store,2,599.0
5100,2026-04-19,1325,3,3,Store,1,1999.0
5101,2024-06-08,1867,20,14,Online,2,71.1
5102,2025-12-24,1663,20,9,Store,1,79.0
5103,2025-11-11,1625,11,13,Online,2,1079.1
5104,2025-07-12,1628,15,4,Online,2,3689.1
5105,2024-08-21,1148,5,13,Online,1,3150.0
5106,2025-05-01,1977,8,3,Store,2,1499.0
5107,2025-08-24,1870,24,11,Online,1,539.1
5108,2025-05-02,1887,2,2,Online,1,2699.1
5109,2025-05-14,1317,4,11,Store,1,299.0
5110,2025-01-19,1203,11,1,Online,2,1079.1
5111,2025-08-27,1018,25,7,Store,2,399.0
5112,2025-04-29,1584,3,1,Online,2,1799.1
5113,2024-06-04,1706,25,10,Online,2,359.1
5114,2024-11-22,1155,18,9,Online,1,359.1
5115,2025-07-08,1595,18,12,Online,2,359.1
5116,2024-12-22,1876,12,13,Online,1,539.1
5117,2025-04-30,1464,8,7,Store,1,1499.0
5118,2025-09-25,1214,24,10,Store,2,599.0
5119,2024-11-21,1687,25,6,Online,1,359.1
5120,2025-02-19,1921,13,3,Store,1,5699.0
5121,2024-09-06,1570,1,3,Store,2,3999.0
5122,2024-07-23,1842,24,9,Store,2,599.0
5123,2024-09-03,1791,15,3,Online,1,3689.1
5124,2025-08-24,1143,3,3,Store,2,1999.0
5125,2026-03-16,1365,21,13,Store,2,49.0
5126,2025-07-30,1999,8,13,Store,2,1499.0
5127,2024-07-18,1904,1,4,Online,2,3599.1
5128,2025-08-08,1766,23,7,Online,2,359.1
5129,2025-06-08,1521,22,5,Online,1,269.1
5130,2024-08-26,1641,5,12,Online,2,3150.0
5131,2026-05-07,1461,20,5,Online,1,71.1
